Number,Opened,Short description,Configuration item,Category,Assignment group,Assigned to,Priority,State,Resolved,Close code,Close notes,Reopen count,Caller
INC0000001,2026-08-20 11:00:00,COI letter not generated for policy,Imaging,Application,App Support - Imaging,Vibol,3 - Moderate,Closed,2026-08-20 15:00:00,Solved (Work Around),Regenerated manually for the customer.,0,Sok Dara
INC0000002,2026-08-22 11:00:00,COI letter not generated for policy,Imaging,Application,App Support - Imaging,Vibol,3 - Moderate,Closed,2026-08-22 16:00:00,Solved (Work Around),"Ran it again, came out.",0,Sok Dara
INC0000003,2026-08-25 09:00:00,COI letter not generated for policy,Imaging,Application,App Support - Imaging,Vibol,3 - Moderate,Closed,2026-08-25 15:00:00,Solved (Work Around),Regenerated manually for the customer.,0,Sok Dara
INC0000004,2026-08-31 05:00:00,COI letter not generated for policy,Imaging,Application,App Support - Imaging,Vibol,3 - Moderate,Closed,2026-08-31 12:00:00,Solved (Work Around),"Ran it again, came out.",0,Sok Dara
INC0000005,2026-09-06 01:00:00,COI letter not generated for policy,Imaging,Application,App Support - Imaging,Vibol,3 - Moderate,Closed,2026-09-06 09:00:00,Solved (Work Around),Regenerated manually for the customer.,0,Sok Dara
INC0000006,2026-08-20 19:00:00,Payment not flowing to IL enquiry,IL,Integration,App Support - Payments,Sreymom,2 - High,Closed,2026-08-21 01:00:00,Solved (Permanently),Transaction stuck in staging because the policy was in grace state and would not accept a posting. Root cause: grace-state check runs before amount validation. Reposted after the policy was reinstated.,0,Sok Dara
INC0000007,2026-08-24 03:00:00,Payment not flowing to IL enquiry,IL,Integration,App Support - Payments,Sreymom,2 - High,Closed,2026-08-24 09:00:00,Solved (Permanently),Transaction stuck in staging because the policy was in grace state and would not accept a posting. Root cause: grace-state check runs before amount validation. Reposted after the policy was reinstated.,0,Sok Dara
INC0000008,2026-09-01 21:00:00,Payment not flowing to IL enquiry,IL,Integration,App Support - Payments,Sreymom,2 - High,Closed,2026-09-02 03:00:00,Solved (Permanently),Transaction stuck in staging because the policy was in grace state and would not accept a posting. Root cause: grace-state check runs before amount validation. Reposted after the policy was reinstated.,0,Sok Dara
INC0000009,2026-08-21 15:00:00,User cannot login to portal,CX Portal,Access,Service Desk,Rith,3 - Moderate,Closed,2026-08-21 16:00:00,Closed,done,0,Sok Dara
INC0000010,2026-08-26 05:00:00,User cannot login to portal,CX Portal,Access,Service Desk,Rith,3 - Moderate,Closed,2026-08-26 06:00:00,Closed,done,0,Sok Dara
INC0000011,2026-08-28 17:00:00,Report not refreshed,Reporting,Application,Data Team,Chantha,3 - Moderate,Closed,2026-08-29 13:00:00,Closed,,0,Sok Dara
INC0000012,2026-09-02 17:00:00,COI letter not generated for policy,Imaging,Application,App Support - Imaging,Vibol,2 - High,Closed,2026-09-02 20:00:00,Closed,Regenerated.,2,Sok Dara
INC0000013,2026-09-07 07:00:00,Imaging queue stuck overnight,Imaging,Application,App Support - Imaging,,1 - Critical,In Progress,,,,0,Sok Dara
